COUNTRY_PERIOD_INDEX,WB-WDI-NY.ADJ.DPEM.GN.ZS,IMF-FM-GGR_G01_GDP_PT,IMF-FM-G_X_G01_GDP_PT,WB-WDI-NY.GDP.PCAP.CD
AFE-1990,3.05935429942268,,,810.646700079806
AFE-1991,3.09805943353788,,,858.727618633322
AFE-1992,2.10787074287212,,,732.360417834814
AFE-1993,1.99754476419224,,,715.892117172597
AFE-1994,1.97447744971854,,,707.177201584469
AFE-1995,1.81792357645102,,,773.575368635221
AFE-1996,1.64353031859446,,,750.771355723696
AFE-1997,1.63797161779275,,,774.549634806529
AFE-1998,1.65463354018913,,,704.277315719787
AFE-1999,1.60034232369083,,,678.004155967361
AFE-2000,1.65213095891544,,,715.142507332877
AFE-2001,1.61363455446449,,,633.473381647953
AFE-2002,1.58871913197574,,,633.520200697013
AFE-2003,1.39340222614306,,,819.986705041887
AFE-2004,1.26935248406365,,,994.193854428418
AFE-2005,1.22938710431289,,,1130.16893800135
AFE-2006,1.21479995703775,,,1235.84712467542
AFE-2007,1.19147431867818,,,1379.74675649107
AFE-2008,1.21063400920384,,,1439.24092429085
AFE-2009,1.14836443329874,,,1404.53594803156
AFE-2010,1.05898915936609,,,1622.68409299336
AFE-2011,1.03106724038098,,,1757.99840406352
AFE-2012,1.01687681317557,,,1724.20405261091
AFE-2013,1.07452769786278,,,1696.35603961321
AFE-2014,1.03738237232693,,,1678.55360976878
AFE-2015,1.02319468092752,,,1498.80508358802
AFE-2016,0.959814065528693,,,1346.30128120779
AFE-2017,0.902184917236991,,,1485.7535786147
AFE-2018,0.874579727569563,,,1558.61207925907
AFE-2019,0.869138767578067,,,1508.48688648948
AFE-2020,0.895289143368188,,,1356.08887141531
AFG-2009,3.20747334262674,19.390544374803,21.1511364650127,453.387385142577
AFG-2010,2.97352486773898,21.7224884173169,20.7891447918216,562.499221552971
AFG-2011,3.1037318944545,21.2648238802967,21.9366455778211,608.738850364613
AFG-2012,2.83101081244359,25.2102616617893,25.028204609336,653.417474910283
AFG-2013,2.7936271650952,24.3460298979079,24.9769754674692,638.73318101404
AFG-2014,2.71656264200805,23.6836524764622,25.4024492849051,626.512929086139
AFG-2015,2.57155003850241,24.5690414796792,25.9467418083646,566.881129708434
AFG-2016,2.46152507445241,28.1562331014637,28.0289751169703,523.053011984748
AFG-2017,2.33247295064515,27.0587245639144,27.731830470057,526.140801025756
AFG-2018,2.20936936088929,30.5698305547137,28.9356348144642,492.090630986151
AFG-2019,2.07635233784877,26.9409385150874,27.9990196329378,497.741431256813
AFG-2020,2.13937881110499,25.6942215121026,27.9370209050755,512.055098005672
AFW-1990,3.65971461331321,,,598.393654721298
AFW-1991,3.54890375640967,,,612.434518557781
AFW-1992,3.50080970803132,,,571.64571752553
AFW-1993,3.46128010426585,,,579.709832591796
AFW-1994,3.30947070063265,,,586.813720557829
AFW-1995,3.14415542807116,,,878.384133199292
AFW-1996,3.2101930889799,,,1084.23049382323
AFW-1997,3.03141015767658,,,1108.67598376033
AFW-1998,2.98887364106088,,,1159.18683744267
AFW-1999,2.92243164121801,,,531.516489087778
AFW-2000,2.95871886077121,,,527.202561683489
AFW-2001,2.9653035801899,,,539.225748784857
AFW-2002,2.89577792841881,,,627.095915323968
AFW-2003,2.80669278045658,,,706.476561309633
AFW-2004,2.67347490659162,,,850.083582158985
AFW-2005,2.50827185722805,,,1008.34176572599
AFW-2006,2.28624617419684,,,1246.34945356314
AFW-2007,2.1957967734664,,,1421.44464408425
AFW-2008,3.67834818509716,,,1685.80693558685
AFW-2009,3.35641167232253,,,1467.78917417001
AFW-2010,3.14837011168319,,,1680.141063273
AFW-2011,2.77614996291132,,,1861.53730345913
AFW-2012,2.62246676361135,,,1958.07740299649
AFW-2013,2.5110047037284,,,2154.31508352123
AFW-2014,2.33891986172972,,,2248.51842565537
AFW-2015,2.263237208217,,,1882.51880807768
AFW-2016,2.17300768701391,,,1648.92026894717
AFW-2017,2.08515491488109,,,1590.5557849502
AFW-2018,2.00933633636524,,,1735.44583276662
AFW-2019,1.92723544496645,,,1813.60914568405
AFW-2020,1.86101780570862,,,1688.47087082362
AFW-2021,1.71553909839943,,,1769.17185266776
