,INDICATOR NAME,INDICATOR DESCRIPTION,INDICATOR FREQUENCY 1,INDICATOR FREQUENCY 2,PROVIDER,DATASET
50,BEFO_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, National Currency",A,Q,IMF,BOP
51,BEF_BP6_USD,"Exceptional Financing, US Dollars",A,Q,IMF,BOP
52,BEF_BP6_XDC,"Exceptional Financing, National Currency",A,Q,IMF,BOP
53,BFDADD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investor in Direct Investment Enterprises, Euros",A,Q,IMF,BOP
54,BFDADD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investor in Direct Investment Enterprises, US Dollars",A,Q,IMF,BOP
55,BFDADD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investor in Direct Investment Enterprises, National Currency",A,Q,IMF,BOP
56,BFDADF_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Between Fellow Enterprises, Euros",A,Q,IMF,BOP
57,BFDADF_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Between Fellow Enterprises, US Dollars",A,Q,IMF,BOP
58,BFDADR_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), Euros",A,Q,IMF,BOP
59,BFDADR_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), US Dollars",A,Q,IMF,BOP
60,BFDADR_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), National Currency",A,Q,IMF,BOP
61,BFDAD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, Euros",A,Q,IMF,BOP
62,BFDAD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, US Dollars",A,Q,IMF,BOP
63,BFDAD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Debt Instruments, National Currency",A,Q,IMF,BOP
64,BFDAEOD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, Euros",A,Q,IMF,BOP
65,BFDAEOD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, US Dollars",A,Q,IMF,BOP
66,BFDAEOD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, National Currency",A,Q,IMF,BOP
67,BFDAEOF_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Between Fellow Enterprises, Euros",A,Q,IMF,BOP
68,BFDAEOF_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Between Fellow Enterprises, US Dollars",A,Q,IMF,BOP
69,BFDAEOR_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), Euros",A,Q,IMF,BOP
70,BFDAEOR_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), US Dollars",A,Q,IMF,BOP
71,BFDAEOR_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), National Currency",A,Q,IMF,BOP
72,BFDAEO_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Euros",A,Q,IMF,BOP
73,BFDAEO_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars",A,Q,IMF,BOP
