,INDICATOR NAME,INDICATOR DESCRIPTION,INDICATOR FREQUENCY 1,INDICATOR FREQUENCY 2,PROVIDER,DATASET
38,BEFOODOAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Accumulation of Arrears, National Currency",A,Q,IMF,BOP
39,BEFOODOCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Cancellation of Arrears, US Dollars",A,Q,IMF,BOP
40,BEFOODOCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Cancellation of Arrears, National Currency",A,Q,IMF,BOP
41,BEFOODORA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Repayment of Arrears, US Dollars",A,Q,IMF,BOP
42,BEFOODORA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Repayment of Arrears, National Currency",A,Q,IMF,BOP
43,BEFOODOSA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Rescheduling of Arrears, US Dollars",A,Q,IMF,BOP
44,BEFOODOSA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, Rescheduling of Arrears, National Currency",A,Q,IMF,BOP
45,BEFOODO_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, US Dollars",A,Q,IMF,BOP
46,BEFOODO_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Other Sectors, National Currency",A,Q,IMF,BOP
47,BEFOOD_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, US Dollars",A,Q,IMF,BOP
48,BEFOOD_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, National Currency",A,Q,IMF,BOP
49,BEFO_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, US Dollars",A,Q,IMF,BOP
