COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,OECD_RATING,GEO_REGION,ADMIN_REGION,LENDING_TYPE,INCOME_GROUP,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.ZS,NV.IND.TOTL.KD.ZG,NV.IND.TOTL.ZS,SL.IND.EMPL.ZS,NV.SRV.TOTL.KD.ZG,NV.SRV.TOTL.ZS,NY.GNP.MKTP.KD.ZG,BG.GSR.NFSV.GD.ZS,NY.GDS.TOTL.ZS,NY.GNS.ICTR.ZS,NE.TRD.GNFS.ZS,DT.DOD.DIMF.CD,GC.REV.XGRT.GD.ZS,GC.XPN.TOTL.GD.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,FR.INR.RINR,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.ZG,BN.CAB.XOKA.CD,BN.CAB.XOKA.GD.ZS,GC.TAX.INTT.RV.ZS,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,DT.DOD.DECT.GN.ZS,DT.DOD.DLXF.CD,DT.TDS.DECT.CD,NE.RSB.GNFS.ZS,FI.RES.TOTL.MO,DT.TDS.DECT.GN.ZS,DT.DOD.DSTC.IR.ZS,GC.XPN.INTP.RV.ZS,FR.INR.DPST,FR.INR.LEND,NE.CON.GOVT.ZS,NE.CON.PRVT.ZS,SL.UEM.1524.ZS,SL.UEM.INTM.ZS,SL.UEM.BASC.ZS,SL.UEM.TOTL.ZS,EN.URB.LCTY.UR.ZS,SP.POP.TOTL,SP.POP.GROW,SP.URB.TOTL.IN.ZS,EN.POP.DNST,SE.PRM.CUAT.ZS,SP.POP.DPND,SL.TLF.CACT.ZS,FS.AST.PRVT.GD.ZS
AFG-1999,1999,AFG,7,MEA,MNA,IDX,LIC,,,,,,,,,12.9839529264061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18,,,7.877,62.8326346184711,19887785.0,3.72811603964771,18.3903267537499,30.49198135627,,108.686030843852,46.609,
AFG-2000,2000,AFG,7,MEA,MNA,IDX,LIC,3521418059.92345,,16377032684.0049,174.930991430166,,,,,12.8762357304282,,,,,,,,,,,,,,,,,,,,0.0048276006173403,,,,,,,,,,,,,10.203,,,7.897,64.2725062676902,20130327.0,1.21217597601851,18.5581995230666,30.8638471091486,,109.586047730495,46.562,
AFG-2008,2008,AFG,7,MEA,MNA,IDX,LIC,10109297047.5432,3.92498381999467,35321124705.4034,381.73323802844,,,5.74181789016215,26.9156280026285,14.2724927619635,14.8544491164925,45.4098308716488,,20.211725717135,,,,131081597.8,8.05270582231448,50.7192978736512,26.4186641547443,2.09628875042125,12.5579601438018,29.5122807993009,31.3838171170012,-238376258.640059,-2.35799044700136,3.16148854243017,-0.0189729921329406,0.45536044478174,21.2121323521857,1994506003.0,8030776.5,,9.42513728779036,0.0794560282166708,0.603633574928822,0.0227439817476196,,14.9175,,,10.137,,,7.879,55.9477375609289,26482622.0,2.18654618162979,21.1241481349633,40.6031951918802,,106.334375525183,46.682,9.38832772083979
AFG-2009,2009,AFG,7,MEA,MNA,IDX,LIC,12416152732.0567,21.3905283926492,43140953896.0125,452.053705477043,,,6.10714113128491,21.8971222069406,15.7209119699527,17.9833820865992,45.2444349261482,,20.56213709976,,,,352752616.2,10.5750824702327,44.3178392396772,-6.81116108898995,-2.16340442746143,17.5429289286094,33.0609569578245,33.045067969931,277627586.221436,2.23601941932175,4.84404133483751,0.0019902383593864,0.45188914562189,20.0367248536922,2106108788.4,10739033.8,,12.2056050228344,0.0867566490556338,0.500545382222192,0.0241408385259934,,15.0,,,10.056,,,7.808,53.8590578677381,27466101.0,3.64638090813246,21.6885475109053,42.1110666482682,,104.799467490534,46.746,10.58413068423
AFG-2010,2010,AFG,7,MEA,MNA,IDX,LIC,15856668555.8336,14.3624414710737,49936634725.4957,560.621505463146,,,6.27060133814976,21.1514206977128,16.9843225135611,18.3554054215666,48.8793769096891,,20.265307705621,,,,355229891.1,11.0919491573205,50.8630045999057,2.17853752389418,3.81463031545211,11.3640937418183,35.3505617153186,26.9471277001623,-577708206.772323,-3.64331388234628,4.55485875503042,-0.0078708051698206,1.20311798981139,15.3334973971382,1975547213.6,10431611.1,,10.4573872731044,0.065666365397817,2.03523498347119,0.0142406244753313,,15.6122222222222,,,10.041,,,7.809,52.235804993189,28284089.0,2.93468670173474,22.2614799010924,43.3652070588596,,103.144455694301,46.815,11.5750442390122
AFG-2011,2011,AFG,7,MEA,MNA,IDX,LIC,17805098206.3141,0.426354776777345,51184181904.4289,606.694676337726,,,9.8076704185067,22.7402524820273,17.5647106902863,9.79068588046582,49.6968203962567,,23.3342231741652,,,,372555169.2,11.5101607150307,59.4847758807514,11.8041858089129,16.5933467401627,-1.24150600982001,36.6242278045429,21.309168363765,-2246921171.24519,-12.6195382087159,3.83063551305111,0.0063865830761662,0.293025179616803,13.9770517017747,2032464249.9,10326866.7,,10.3439728750425,0.0580764280918365,1.26581811096506,0.0115304161485474,,15.1458333333333,,,10.044,,,7.83,50.343361532698,29347708.0,3.69150308391849,22.8205691572485,44.9959492816951,,101.458308292088,46.884,4.95918037606027
AFG-2012,2012,AFG,7,MEA,MNA,IDX,LIC,19907329777.5872,12.7522870926697,60766467131.1993,651.417134470046,,,6.3940710078319,21.1578071539751,18.922538408842,13.6573397412116,50.5793979236606,,18.2504471777066,,,,387633123.4,10.2006246425162,42.3292514484608,6.44121280934117,7.30175646760432,7.17438724753763,32.9136922701029,8.7277294523166,-5150161881.41159,-25.8706814974751,4.22465221322185,-0.0445104966004486,0.285440893554571,12.9281604362278,2079786013.4,14850800.8,,8.67720885361815,0.0743981072003037,1.58277362098829,0.0171919008924942,,15.0,,,10.071,,,7.875,48.4526329231851,30560034.0,4.04786256315645,23.3434391310979,46.8546892967205,,99.7731309368865,46.956,4.47210362973721
AFG-2013,2013,AFG,7,MEA,MNA,IDX,LIC,20146416757.5987,5.60074465863221,67458857272.9888,637.087099117099,,,5.06099068169274,20.4446053132561,21.3458275277614,7.82655196497619,52.6827434733525,,11.9424039644066,,,,375643168.3,9.40560933162746,42.0936844468805,7.38577178397855,4.82278547876986,9.78449593859924,32.6820168994225,9.9144833110801,-5095040596.60647,-25.290058564309,3.70364318455009,0.0026670697666708,0.239801184405551,12.8048363659593,2106231492.2,25088493.4,,8.58813766628176,0.124142977676627,1.45293353564213,0.0350619479814528,,15.0791666666667,,,10.104,,,7.921,47.0633552421067,31622704.0,3.41822667584596,23.8077136743646,48.4839765113534,,98.063558808759,47.026,4.3216854169302
AFG-2014,2014,AFG,7,MEA,MNA,IDX,LIC,20497128555.6972,2.72454336219565,72946664022.0665,625.054941813938,,,2.76578053402486,21.2296632181805,23.8556617856929,4.53015392983139,52.9908650351499,,13.866416240527,,,,334839124.6,8.61373050462046,44.5892994893339,4.67399603536344,0.56694454253261,14.3516893380043,34.2095967895183,8.13557154538606,-3232893168.37268,-15.7724198274304,3.80654923800864,-9.34458242055625e-05,0.209664794672203,12.3049882693651,2020951888.7,42203307.6,,10.7026948461815,0.205272277364401,2.31218836672432,0.0518220686922314,,15.0,,,10.094,10.621,7.38,7.915,45.7877218072457,32792523.0,3.63251884652008,24.1910166387726,50.2775447311531,13.68165274149,96.3463937851296,47.096,3.94105709996345
AFG-2015,2015,AFG,7,MEA,MNA,IDX,LIC,19134221644.7325,1.45131466066431,77274315044.0326,565.569730408751,,,4.17112134442286,22.1240424906926,22.6191439151609,2.13510778282216,53.2352934986503,,10.7426793181858,,,,300161714.8,10.1311181683697,37.0225695736427,-0.661709164713741,2.44756300147404,12.2525481629518,33.9280526549766,3.07902196833481,-4192816422.8282,-21.9126573355151,4.57093222159508,0.0113046306689472,0.88400046336123,13.4908301094464,2008954793.3,56234850.6,,9.77019396043117,0.292136690509521,4.1250129605746,0.101941745648561,,15.0,,,12.534,,,9.032,44.9871093213398,33831764.0,3.11995924146907,24.4649118421568,51.8709105683578,19.5894508361816,94.6132337112821,47.165,3.98149379462535
AFG-2016,2016,AFG,7,MEA,MNA,IDX,LIC,18116572395.0772,2.26031420279821,76798750471.4042,522.082215583898,,,-0.765914428667429,10.4668076938201,21.3484268966527,1.97948271204346,59.0232164144095,,9.05292065533949,,,,276984771.4,12.678009904576,43.9227656125389,4.38389195513914,-2.19752646733461,17.5839381624543,37.2228186582708,9.72542825974532,-2708462935.14897,-14.9501951919169,6.38124658640702,0.0773106868414427,0.516606084523093,14.1470450360055,1964505964.6,59621162.6,,11.8280603760738,0.324902542065687,4.86904294176967,0.0915435039044285,,15.0,,,14.932,,,10.116,44.6107858260018,34700612.0,2.53571991833963,24.6588345720126,53.2030296061205,,92.8898712202104,47.235,3.88832174612488
AFG-2017,2017,AFG,7,MEA,MNA,IDX,LIC,18753456497.8159,2.6470032027451,83362066704.4832,525.469770891619,,,9.20679243694582,10.0518739969063,20.1948976002105,-0.682546329105719,58.3290500097748,,8.58068228236206,,,,284853905.2,13.0392622227544,39.2201099807684,4.97595150553832,2.40365618765746,12.1411782956513,36.8612612972957,4.09327496841465,-3554897942.49064,-18.9559612272258,7.42258902919388,0.0600461881044499,0.274796791572807,14.5133427404056,1997566648.7,63232789.7,,12.1342766418313,0.333475147144941,5.79905881440043,0.109378878694535,,14.8366666666667,,,17.31,16.155,12.283,11.184,44.1509557003099,35688935.0,2.80833730805469,24.8352821238871,54.7183278904681,24.2811387288135,91.2936186853936,47.305,3.84188120492596
AFG-2018,2018,AFG,7,MEA,MNA,IDX,LIC,18053222687.4126,1.18922812944517,89369237677.5116,491.337221382603,,,11.0746416445024,13.3872469597976,19.3764202039082,1.93817131049055,59.4774229106653,,11.638304710115,,,,274596496.6,,,0.626149149168846,2.07134857783487,,36.6074938854128,2.57415378471386,-3896837603.93392,-21.5852741164653,,0.214940580498669,0.661572217787196,14.6424246657516,1970427923.6,63115845.8,,12.178586861258,0.344998757258291,5.28515663676076,,,,,,16.402,,,11.192,43.6752547751319,36743039.0,2.91080959861384,24.9991645191406,56.3344817012404,,89.8496059758101,45.566,3.51231703339133
AFG-2019,2019,AFG,7,MEA,MNA,IDX,LIC,18799444490.1128,3.91160341625552,97800733345.013,496.6025042585,,,4.84886805836136,14.0581123697768,18.6092921833009,-1.38573516281275,55.4728067408306,,9.91813397763459,,,,276923268.4,,,2.30237251516833,6.52147984832531,,34.9592143142587,5.70436037333889,-3791935256.04003,-20.1704643881064,,0.140009703959576,0.124495985291258,13.9496520351375,1964900688.1,55575662.9,,13.7489091058633,0.291266953257151,4.9409155902724,,,,,,15.52,,,11.187,43.2216879259299,37856121.0,2.98438913621969,25.1437258839803,58.0410606687825,,88.5120276122222,43.814,3.22995723026215
AFG-2020,2020,AFG,7,MEA,MNA,IDX,LIC,19955929052.1496,-2.35110067203466,100094011602.726,510.787063366811,,11.5,-4.63025314891763,12.9525996015547,18.4813133384578,-5.91675160405936,52.5721090890613,,9.0438454994653,-14.4125667930104,-2.73776944122657,46.7098945514103,628740557.2,,,5.60188791482224,6.9629462552564,,37.5081887366299,12.0637466878922,-3136733353.20761,-15.7183027911684,,0.186553469889349,0.0649939571808755,15.1208585304773,1976197755.2,45904311.7,-25.8682602741689,16.6316336551941,0.228321083128007,4.4633951754096,,,,22.1092193573017,92.3033474357087,16.053,12.157,12.036,11.71,42.7726996030675,39068979.0,3.15360920291972,25.2622103446137,59.9006163469942,19.0396861410382,87.2478169146763,41.579,3.09659808966059
AFG-2021,2021,AFG,7,MEA,MNA,IDX,LIC,14259995441.0759,-20.7388393676343,85767546197.7544,356.496214115892,-9.60297382424412,13.0,-12.8087400556664,14.2736570191788,19.6166325981684,-30.0504451417962,47.160422387969,-21.6273223437792,,-9.74070711301084,,51.4117163747271,1185327218.0,,,5.13320340824962,2.83899625081041,,,,,,,0.215925454725649,0.144466946606861,24.7857399527695,1925714305.2,25997304.5,-22.727410779653,,0.181215272713207,,,,,21.2623843883974,88.4783227246134,16.013,9.459,6.034,12.006,42.7622400830673,40000412.0,2.35609779179185,25.3478620272481,61.3286907992579,15.2469596862793,86.0834681804276,40.684,
AFG-2022,2022,AFG,7,MEA,MNA,IDX,LIC,14497243872.1337,-6.24017199240269,86148711748.6848,357.261152798144,29.0896182713296,16.7,-5.72521962070655,16.0503677223963,19.0365082146219,-6.48174850425876,45.0499087998591,-6.9053568653829,,-19.456991010884,,72.8854696086536,1122111569.9,,,13.7121023720064,9.40623933931322,,,,,,,,,23.3368489761511,1877151114.8,26580940.3,-36.1253848053787,,0.18280878027456,,,,,21.8454919236646,97.6114990872194,17.539,,,14.1,43.2612510130223,40578842.0,1.43570437048699,25.3939250580909,62.2155405301811,21.0254802703857,84.9624893289139,37.64,
AFG-2023,2023,AFG,7,MEA,MNA,IDX,LIC,17152234636.8715,2.26694373649188,91271896894.46,413.757894705303,-5.29950608331828,15.2924823859473,1.7963433248682,13.4498227120978,19.2101817019298,1.4819254607129,46.3743698691993,5.84003627623326,,-19.2855186503912,,67.5846651516385,1127013175.2,,,-4.64470870797774,2.92366213121669,,,,,,,,,19.8909368152618,1874433293.3,43570332.3,-33.8790889104381,,0.252807804690753,,,,,21.2145146604881,98.0710039899031,17.494,,,14.008,43.4541283148259,41454761.0,2.13559384981397,25.4730529631167,63.5585008355948,,83.8361728436287,37.588,
AFG-2024,2024,AFG,7,MEA,MNA,IDX,LIC,,,,,,,,,19.04343301785,,,,,,,,1089028054.5,,,-6.60118564073725,,,,,,,,,,,1812468843.5,67599109.7,,,,,,,,,,17.235,,,13.687,43.1393597445569,42647492.0,2.83657317243522,25.7007352636188,,,82.7768483158234,37.547,
AFG-2025,2025,AFG,7,MEA,MNA,IDX,LIC,,,,,,,,,18.899104657876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.785,,,13.351,42.8815899785769,,,,,,,37.457,
